구분,버스명,AP별 이용량(GB)
마을버스,오렌지교통_노원02_서울70사6893,371.41815200 
마을버스,개포운수_강남05_서울75사9302,371.13906816 
마을버스,은곡운수_강남06_서울75사3256,370.72241213 
마을버스,정암운수_마포09_서울70사7715,370.59020996 
마을버스,범일운수_금천01_서울71사1594,368.93267836 
마을버스,염동운수_강서06_서울70사8167,368.64575185 
마을버스,청진운수_서초13_서울75사3162,368.28887928 
마을버스,인헌운수_관악05_서울75사8907,367.63732880 
마을버스,오봉운수_구로01_서울75사8309,367.47201532 
마을버스,오렌지교통_노원02_서울75사3045,366.63040146 
마을버스,경성운수_금천07_서울71사1415,366.29626434 
마을버스,미봉운수_강북05_서울75사3659,365.67355320 
마을버스,청화운수_서초09_서울70사9131,365.37841801 
마을버스,은곡운수_강남06_서울75사3238,364.31002803 
마을버스,청화운수_서초09_서울75사3363,364.23406936 
마을버스,신림운수_관악08_서울75사5000,363.41378745 
마을버스,상도3동_동작11_서울75사8746,362.03247029 
마을버스,청화운수_서초09_서울70사9238,361.97051965 
마을버스,흑석운수_동작01_서울75사5506,361.92086805 
마을버스,복지운수_강북11_서울71사1299,361.83734145 
마을버스,인헌운수_관악05_서울75사5154,361.37228366 
마을버스,상도3동_동작02_서울75사3299,359.90686063 
마을버스,한빛운수_광진05_서울75사5138,358.07461571 
마을버스,인헌운수_관악05_서울70사9083,357.67443851 
마을버스,구민버스_서초18_서울71사2920,357.37405438 
마을버스,연일교통_서대문03_서울70사7313,357.17358440 
마을버스,은곡운수_강남06-1_서울75사3626,357.00073279 
마을버스,구민버스_서초18-1_서울70사9111,356.96417280 
마을버스,복지운수_강북09_서울75사3155,356.89090006 
마을버스,세광운수_관악08_서울70사9072,356.73269629 
마을버스,노들운수_동작03_서울75사8809,356.21615592 
마을버스,선흥상운_서초21_서울70사9117,356.21533170 
마을버스,번창운수_노원14_서울70사6621,354.70126383 
마을버스,우리마을버스_금천06_서울75사5235,354.12533581 
마을버스,미봉운수_강북05_서울75사3356,353.30102500 
마을버스,복지운수_강북09_서울75사3252,353.18716429 
마을버스,노들운수_동작03_서울75사8807,353.00897248 
마을버스,부생운수_서초15_서울70사9136,352.57278476 
마을버스,충정운수_서대문02_서울75사5298,352.35437006 
마을버스,개포운수_강남05_서울70사9308,352.11654659 
마을버스,세광운수_관악08_서울75사8903,351.80474818 
마을버스,미봉운수_강북04_서울71사1254,351.79907270 
마을버스,서초교통_서초10_서울70사9158,351.65335052 
마을버스,우리운송_동대문01_서울75사6118,351.38171352 
마을버스,범일운수_금천01_서울71사1592,351.37066618 
마을버스,흑석운수_동작01_서울75사8773,351.21905524 
마을버스,일원교통_강남01_서울70사9443,349.97692890 
마을버스,신명운수_강동01_서울75사9721,349.92288239 
마을버스,서북운수_서대문06_서울70사7234,349.52044673 
마을버스,쌍문운수_도봉07_서울70사6642,348.19985926 
마을버스,세광운수_관악08_서울75사5318,348.03985618 
마을버스,범일운수_금천01_서울75사5183,346.28259297 
마을버스,쌍문운수_도봉06_서울75사3470,345.52716091 
마을버스,길음운수_성북09_서울70사6580,345.19122355 
마을버스,개포운수_강남05_서울70사9362,345.10345478 
마을버스,구민버스_서초18_서울75사3260,344.63491850 
마을버스,번창운수_노원14_서울70사6836,344.52694748 
마을버스,구의교통_광진02_서울71사1014,344.01333611 
마을버스,은곡운수_강남06_서울71사2001,343.91918965 
마을버스,흑석운수_동작01_서울75사8774,343.13354455 
마을버스,고려승객_성북21_서울75사2987,342.38796961 
마을버스,합정운수_마포16_서울75사5394,341.87454265 
마을버스,흑석운수_동작01_서울75사3594,341.60488937 
마을버스,범일운수_금천01_서울71사2510,341.41748026 
마을버스,광일운수_서초17_서울75사3588,341.00534022 
마을버스,범일운수_금천01_서울71사1593,340.72436485 
마을버스,영운교통_은평06_서울75사7001,340.44781514 
마을버스,금강운수_관악03_서울70사9068,340.40350374 
