관리번호,자치구,AP별 이용량(GB)
WN003866,성동구,1156.5786361 
YC050001,양천구,1156.5194626 
MP020051,마포구,1155.8946117 
WN000676,도봉구,1151.1706049 
MP010026,마포구,1148.8523947 
WF190938,용산구,1148.6009724 
EP080007,은평구,1147.7132437 
YS000051,용산구,1147.1854395 
SB020015,성북구,1142.8186873 
WF201101,강동구,1142.5172677 
GN100012,강남구,1140.1525060 
WF131739,마포구,1140.0165892 
WF181358,강동구,1139.4108098 
WF191172,중랑구,1139.0329015 
WN003878,성동구,1138.8210457 
YC170065,양천구,1137.6568802 
WF161294,관악구,1133.2411117 
YC040004,양천구,1131.5210861 
WF205127,중구,1130.8598594 
GA020002,관악구,1128.8844834 
SC000008,서초구,1127.4369592 
YC050007,양천구,1122.3619515 
YC160002,양천구,1120.2383448 
WF200172,은평구,1119.6571006 
WF181149,은평구,1118.9596595 
WF120061,서초구,1118.8036269 
WF110053,중구,1114.1380166 
DDM000013,동대문구,1111.3356562 
DB110012,도봉구,1109.6357947 
NW160010,노원구,1105.2468649 
WF120352,중구,1103.4704438 
SD000341,성동구,1103.2844141 
WF190294,구로구,1102.5886293 
WF190552,동작구,1102.3909657 
EP040011,은평구,1096.6683839 
WF190333,금천구,1095.6142830 
JG170008,중구,1094.1115627 
WF160082,마포구,1091.9210984 
GJ100010,광진구,1090.8912708 
WF190891,영등포구,1086.2067970 
GA070078,관악구,1084.3190321 
WF190744,성동구,1084.1817341 
NW160018,노원구,1082.8514254 
SC000039,서초구,1079.8354049 
WF120343,중구,1079.8011303 
GB070001,강북구,1078.6781951 
WF205026,은평구,1078.5184038 
WN003903,성동구,1077.5415649 
MP010041,마포구,1074.9400609 
NW160044,노원구,1073.5763751 
WF190822,송파구,1073.5055718 
GN150001,강남구,1072.3611376 
YDP090001,영등포구,1071.3695074 
SD000152,성동구,1070.9815297 
EP000118,은평구,1069.8030904 
NW160047,노원구,1069.0573752 
NW160084,노원구,1066.6092538 
GC030004,금천구,1065.8158258 
WF171364,도봉구,1064.2739513 
NW160048,노원구,1063.4862487 
YS000026,용산구,1063.2092617 
GS040023,강서구,1062.5258885 
GA080002,관악구,1060.4758650 
WN000630,도봉구,1059.8442755 
WN000662,도봉구,1059.1381979 
SD000443,성동구,1058.9881965 
YC170018,양천구,1057.9695257 
NW160072,노원구,1055.4166228 
NW030001,노원구,1054.5094481 
WF161280,관악구,1053.6334091 
WF110087,중구,1053.1447820 
WF131204,강북구,1052.3295217 
NW160051,노원구,1049.5473198 
JG170007,중구,1049.4568141 
NW100002,노원구,1048.2631888 
SB020020,성북구,1048.2621078 
WF205121,중구,1047.7884053 
YC180011,양천구,1047.7059339 
WF120217,은평구,1046.7876123 
WF190372,금천구,1046.3919934 
WF190445,노원구,1046.2395670 
YDP000007,영등포구,1045.4322931 
GR100026,구로구,1044.8579534 
WN003900,성동구,1043.0436004 
WN003885,성동구,1042.7035802 
WF200091,중구,1040.3270200 
WF110179,중구,1038.3955937 
SC000027,서초구,1035.8732888 
WN000687,도봉구,1034.5646162 
WF111084,노원구,1033.3605429 
YC130011,양천구,1033.2532507 
YC170020,양천구,1033.2421535 
WF130032,중구,1033.1674767 
WF161255,관악구,1032.3820442 
GN020023,강남구,1032.3209154 
GN070069,강남구,1031.1702217 
WF120356,중구,1031.0666710 
WF190040,강남구,1030.4335530 
WN003886,성동구,1029.9117776 
WF191173,중랑구,1028.7368434 
WF190472,노원구,1028.1107198 
WF171449,노원구,1027.8131941 
EP000016,은평구,1024.5078456 
SC000016,서초구,1023.5020883 
EP000019,은평구,1023.1790534 
WN000682,도봉구,1020.6139356 
WN003879,성동구,1020.0146424 
GN090030,강남구,1019.6644468 
EP070016,은평구,1018.3719653 
GS100060,강서구,1018.1452615 
GB110025,강북구,1016.7267930 
YDP000050,영등포구,1016.6575886 
WF205111,중구,1014.1400481 
WF190331,금천구,1012.9816701 
WF192027,마포구,1012.1526816 
WF205124,중구,1012.1180213 
WF190293,구로구,1010.7592036 
WN003857,성동구,1009.4539607 
DDM000044,동대문구,1009.4330203 
NW160056,노원구,1009.2083824 
GR030026,구로구,1007.7951685 
YDP070001,영등포구,1007.7862499 
YC150015,양천구,1007.6470916 
WF190508,동대문구,1006.9797018 
EP000057,은평구,1005.7379786 
YC020005,양천구,1005.3782735 
YC170056,양천구,1004.7783215 
YDP120001,영등포구,1004.1695968 
SC000040,서초구,1003.9144723 
WF205119,중구,1001.7696763 
GS100040,강서구,1000.9745651 
YC040009,양천구,1000.2356196 
WF191034,은평구,998.6466773 
WN000683,도봉구,996.7816038 
NW030006,노원구,995.0954348 
WF110094,중구,994.2231883 
WF190897,영등포구,993.0684297 
NW160014,노원구,992.2553699 
NW180001,노원구,990.9972771 
WF120413,중구,989.4422570 
WN000675,도봉구,987.7874055 
DB070002,도봉구,986.0838414 
YS110001,용산구,985.9245979 
WF201597,양천구,984.9773011 
YS000038,용산구,981.8047285 
DDM000049,동대문구,980.5558352 
WF190306,구로구,980.3247030 
WF171760,금천구,979.6878352 
WN003803,성동구,978.9000750 
NW150001,노원구,977.4810255 
WF151890,마포구,976.1642039 
YC120034,양천구,974.4955191 
GS020003,강서구,973.4808054 
SD000421,성동구,973.3249708 
YC140009,양천구,973.0627806 
JG000059,중구,972.6010257 
YC060010,양천구,972.4791580 
YC070001,양천구,971.8005304 
YC150016,양천구,971.5935020 
NW160037,노원구,969.4842424 
MP010043,마포구,966.4904785 
WF161306,관악구,963.5360523 
WF190275,구로구,962.8138181 
SDM050084,서대문구,962.4327642 
GR030096,구로구,961.1772235 
GR040011,구로구,960.0054373 
DDM000058,동대문구,959.9836619 
SDM050068,서대문구,958.8268125 
GN140017,강남구,957.5210926 
GR000019,구로구,956.5763708 
WF190163,강서구,956.3732605 
WF191036,은평구,955.4808034 
WN003891,성동구,953.0512536 
YDP000052,영등포구,953.0343027 
WF201405,동대문구,950.8903481 
GS120050,강서구,949.3694039 
YC160005,양천구,948.8253920 
WF190652,마포구,946.6887934 
WN000690,도봉구,945.5080680 
YC180006,양천구,945.1822250 
WF201627,영등포구,945.0013723 
WF200011,중구,944.8712818 
YC170106,양천구,944.3755671 
GA070017,관악구,944.3226639 
WF160019,마포구,943.2496015 
NW160054,노원구,943.2489941 
YDP000020,영등포구,941.8999997 
WF110050,중구,940.7450882 
WF181055,중랑구,940.7444665 
NW160058,노원구,940.6782300 
SB020046,성북구,940.0494264 
SC000057,서초구,939.3810287 
WF171803,금천구,939.3342503 
YC010002,양천구,939.2944648 
JG000043,중구,938.1200768 
WF171357,도봉구,937.4406536 
YC010007,양천구,937.3173031 
YS000031,용산구,936.0866021 
EP070010,은평구,936.0290514 
GA070045,관악구,935.1000683 
YC170098,양천구,934.9346449 
YC150004,양천구,934.1094407 
WF160020,마포구,933.5417966 
WF181322,서초구,931.0426534 
WF171314,성북구,930.3947225 
GS150011,강서구,929.0683919 
WF170008,중구,927.2748344 
NW160019,노원구,926.2743509 
GB110026,강북구,925.5383568 
WN000660,도봉구,925.3246343 
WF110021,마포구,924.9270417 
SD000011,성동구,923.3884196 
WF120403,중구,921.2334290 
EP000023,은평구,919.2731539 
SDM040005,서대문구,916.3463212 
GS100014,강서구,916.0724749 
JG000002,중구,915.3922459 
YS000011,용산구,914.4654147 
GA110002,관악구,913.8678742 
DDM000011,동대문구,912.9528962 
GJ100017,광진구,912.2126338 
WF190854,양천구,912.0700601 
GA070033,관악구,909.7531464 
EP000139,은평구,908.7011822 
GB110002,강북구,908.1361484 
WF141978,동작구,907.1539492 
YS060001,용산구,906.9987780 
YC170024,양천구,906.2881223 
WF200138,서초구,904.5495781 
WF110117,중구,902.2762280 
NW160015,노원구,902.1072807 
WF190373,금천구,901.9309169 
WF181094,도봉구,901.7415877 
YC160001,양천구,901.4529504 
SIGMUL025,강서구,900.3475472 
GJ060001,광진구,900.0358536 
WF142032,마포구,899.9718420 
GA070031,관악구,898.8181612 
SD000163,성동구,897.7289600 
GD130125,강동구,897.3251355 
WF170045,중구,897.0902177 
WF160071,마포구,896.2296813 
YC170051,양천구,895.9982122 
WF181327,서초구,895.5105907 
DDM000042,동대문구,895.1405966 
WF120410,중구,895.1310243 
YC170042,양천구,894.4838513 
YC120036,양천구,893.7628526 
EP000048,은평구,893.5190487 
YDP000008,영등포구,892.6336390 
WF191116,중구,891.3869189 
NW160016,노원구,891.0705979 
SC000051,서초구,890.9319094 
WN003820,성동구,889.8900866 
NW130003,노원구,889.8778091 
WF205106,중구,888.8422478 
WN000680,도봉구,888.6145827 
WF140030,동대문구,887.0213352 
GN060036,강남구,883.3523339 
WF201626,영등포구,883.1537535 
WF132227,용산구,883.0153766 
WF141263,강북구,882.8128887 
WN003858,성동구,882.1969238 
YC040006,양천구,881.7964153 
GD130047,강동구,881.2328895 
SC000049,서초구,880.2799421 
EP000026,은평구,880.1255264 
JG170005,중구,877.6342508 
WN003851,성동구,877.5751833 
SP260059,송파구,877.4489985 
WF190144,강서구,877.0245307 
WF190393,노원구,876.8485440 
DDM000020,동대문구,876.8472091 
YC170071,양천구,874.3761395 
WF161663,금천구,874.1991784 
SC000029,서초구,874.1045312 
WF120292,중구,873.8907546 
SC000071,서초구,873.1435016 
YDP000049,영등포구,871.3495735 
SIGMUL150,강서구,870.4832196 
NW030002,노원구,866.3489190 
GN070006,강남구,866.2995802 
SC000037,서초구,865.1344431 
SC000068,서초구,864.9797218 
WF171302,성북구,864.6860726 
YC170089,양천구,864.5760839 
WF110074,중구,863.6964593 
GB110005,강북구,863.0085673 
EP020020,은평구,862.7553501 
WF121165,강서구,862.5448947 
YS000021,용산구,860.3248330 
YDP050002,영등포구,860.2240098 
NW160001,노원구,860.1232172 
YC040003,양천구,859.3946880 
YC170092,양천구,859.3645667 
SC000025,서초구,858.8220503 
YDP000016,영등포구,858.7467420 
WF120226,은평구,855.9805661 
YC170076,양천구,855.6004289 
WF205115,중구,855.3161290 
WF2020109,동대문구,851.9341632 
SB020034,성북구,851.3289555 
YC170050,양천구,850.9251892 
WF120427,중구,850.8904892 
WN003877,성동구,849.7918436 
GS180117,강서구,849.4539482 
SB020044,성북구,849.4231354 
JG000061,중구,849.1583902 
YS090001,용산구,848.9158918 
YC170101,양천구,848.4860258 
WF110164,중구,847.8880160 
GS170044,강서구,847.8684675 
SB140010,성북구,847.7462258 
WF171787,금천구,847.6621014 
WF171232,성동구,847.0532816 
WN003907,성동구,846.6937369 
SB020039,성북구,845.9329017 
YS000015,용산구,845.5518559 
WF110095,중구,845.5442422 
YS000047,용산구,845.2204181 
WF181036,성동구,844.2724268 
YS000061,용산구,843.2776229 
WN000635,도봉구,842.9595298 
WF190893,영등포구,842.7265568 
WF191108,중구,842.6474462 
WF190227,광진구,842.2272163 
WF190579,동작구,840.3281422 
WF190957,용산구,840.0147609 
WF142431,용산구,839.4374635 
WF171799,금천구,838.8502289 
WF181272,금천구,838.1610864 
WF190450,노원구,838.0286769 
NW040005,노원구,837.8888993 
WF191180,중랑구,837.1311268 
GC060021,금천구,836.8765247 
GR050004,구로구,836.0597264 
GA200004,관악구,835.1328209 
GS040059,강서구,835.0951005 
SD000435,성동구,833.6728594 
MP020045,마포구,833.1375738 
WF205102,중구,833.0145635 
WF171311,성북구,832.9822203 
WF191217,용산구,832.9592833 
WF151867,마포구,832.6457194 
YC030006,양천구,831.3578658 
SIGMUL026,강서구,830.6066126 
GS060012,강서구,830.5447881 
DDM000045,동대문구,830.4737017 
WF120378,중구,829.0070315 
YC080014,양천구,828.3683584 
WF191038,종로구,827.6292998 
DDM000043,동대문구,826.8811986 
GR030053,구로구,825.4562103 
WF200054,중구,824.8147502 
WF161690,금천구,824.6898401 
YC050016,양천구,823.6837856 
SB090005,성북구,822.8190280 
WF161687,금천구,822.6960574 
YC050017,양천구,821.9565863 
SC000007,서초구,821.5360857 
GN130001,강남구,821.5338077 
WF190033,강남구,821.1819834 
SD000034,성동구,821.1049708 
YC140001,양천구,820.6576158 
GS180129,강서구,820.1295141 
DDM000004,동대문구,818.7815186 
GS180109,강서구,818.3989697 
YC170011,양천구,818.3431838 
WF120421,중구,817.8425390 
GN070082,강남구,817.7787129 
YC170068,양천구,817.1456307 
YC130007,양천구,816.7789991 
GS100041,강서구,816.1487306 
YC170021,양천구,814.2630335 
DDM000018,동대문구,813.9037035 
WN000636,도봉구,813.3501891 
NW090001,노원구,812.8739440 
EP000113,은평구,811.1631684 
WF120064,서초구,810.5482862 
YC060002,양천구,809.7593429 
SP260028,송파구,808.9545222 
GA050002,관악구,808.7059718 
GD130076,강동구,808.4481180 
DDM000012,동대문구,808.2904616 
YC170099,양천구,808.1253748 
YC080015,양천구,807.9044212 
WF205108,중구,807.8790344 
GR150016,구로구,807.7740252 
GS040025,강서구,807.0654105 
WF110127,중구,806.9960956 
GB120002,강북구,805.5630149 
WF190694,서대문구,805.2854379 
WF110061,중구,804.2757406 
SIGMUL029,강서구,804.2075072 
WF201256,구로구,803.4698180 
WF191170,중랑구,803.0416034 
WF201060,강동구,802.9396280 
WF140048,은평구,802.6061735 
YC130001,양천구,801.6392783 
GA160003,관악구,801.4489598 
GA070050,관악구,801.3680047 
WF160057,마포구,800.1142528 
YC170067,양천구,799.0656393 
NW160060,노원구,798.6443124 
WF181183,은평구,796.5739452 
GB110024,강북구,796.1002459 
YS000057,용산구,795.5455381 
WF200102,중구,795.1997406 
WF190010,강남구,795.1201317 
WF142044,마포구,795.0293295 
GB070006,강북구,794.3784681 
GA070005,관악구,794.2508304 
SC030001,서초구,794.0395401 
GN070066,강남구,793.8727206 
GA160002,관악구,792.9699469 
GN070009,강남구,792.4321971 
YC160011,양천구,791.1796233 
DDM000009,동대문구,790.2240585 
SB160002,성북구,789.8963083 
YS040010,용산구,789.1652881 
DDM000036,동대문구,787.5470961 
SC000038,서초구,785.2459330 
WF110184,중구,784.7041675 
YC170001,양천구,784.3668112 
JG100001,중구,784.0772589 
SB020048,성북구,784.0343659 
GS040036,강서구,783.8963197 
WF181326,서초구,783.7389237 
GN070060,강남구,782.9574097 
WF205126,중구,782.5728710 
GJ100039,광진구,781.8335038 
WF201086,강동구,781.7904324 
NW160063,노원구,781.1632073 
WN003856,성동구,781.1482950 
DB040012,도봉구,780.8196049 
DDM000019,동대문구,779.4551842 
YC170062,양천구,778.6125129 
NW140001,노원구,778.6072760 
YC170104,양천구,778.5520583 
WF200079,중구,778.1903676 
NW010016,노원구,777.5617304 
GA130004,관악구,777.4255764 
GD130024,강동구,777.3967833 
YC070008,양천구,777.2728232 
DB030010,도봉구,777.1825855 
GB020001,강북구,777.0018324 
WN003817,성동구,776.9875440 
YC170041,양천구,776.9143452 
YC010001,양천구,776.7787175 
YC130003,양천구,776.6328456 
WF201931,동대문구,776.3370615 
YS000043,용산구,775.9830931 
