구분,버스명,AP별 이용량(단위 : GB)
시내버스,삼양교통_130_서울74사3264,695.39636374 
시내버스,관악교통_643_서울74사4662,695.33618167 
시내버스,대원여객_370_서울74사1553,695.01575083 
시내버스,서울승합_340_서울70사6202,694.94464435 
시내버스,대원여객_370_서울74사7577,694.81414743 
시내버스,동아운수_151_서울74사2103,694.69726644 
시내버스,중부운수_641_서울74사9765,694.64044645 
시내버스,신길운수_606_서울74사2742,694.15082224 
시내버스,대원여객_370_서울74사7553,694.07202303 
시내버스,동해운수_700_서울74사7196,693.88586096 
시내버스,한국비알티_741_서울74사5356,693.52575578 
시내버스,메트로버스_273_서울74사9682,693.30248982 
시내버스,다모아자동차_470_서울74사5757,693.07220168 
시내버스,한국비알티_140_서울71사1862,692.82867014 
시내버스,한남여객운수_501_서울74사3724,692.56206974 
시내버스,한국비알티_741_서울74사5345,692.23181345 
시내버스,동아운수_153_서울74사4062,692.08391942 
시내버스,흥안운수_1224_서울74사3974,691.59680046 
시내버스,한국비알티_741_서울74사5364,691.40575826 
시내버스,한국비알티_140_서울74사4054,691.39587693 
시내버스,영인운수_650_서울74사9699,691.32763892 
시내버스,도선여객_472_서울74사3291,690.63867442 
시내버스,서울교통네트웍_160_서울71사3274,690.61938673 
시내버스,송파상운_370_서울70사9706,690.60918875 
시내버스,한국비알티_741_서울74사5342,690.41333161 
시내버스,관악교통_643_서울74사4609,690.35986438 
시내버스,서울승합_3413_서울70사9606,690.03161974 
시내버스,동아운수_152_서울74사3823,689.80395794 
시내버스,한성운수_504_서울74사8835,689.42950107 
시내버스,한국비알티_140_서울74사4014,689.37793374 
시내버스,아진교통_141_서울74사6467,689.15276788 
시내버스,동아운수_153_서울74사2157,688.80645558 
시내버스,다모아자동차_710_서울74사5745,688.65508772 
시내버스,우신버스_540_서울74사8283,688.43279965 
시내버스,서울교통네트웍_160_서울71사3261,688.32653575 
시내버스,서울교통네트웍_160_서울70사6730,688.17255087 
시내버스,관악교통_643_서울74사4633,687.44573742 
시내버스,대원여객_107_서울74사5082,687.18633614 
시내버스,중부운수_640_서울75사1353,686.95800379 
시내버스,신수교통_7734_서울74사7815,686.66919135 
시내버스,동아운수_152_서울74사4070,686.38293073 
시내버스,서울교통네트웍_160_서울70사6739,686.21697836 
시내버스,동아운수_153_서울74사3869,685.84484980 
시내버스,신촌교통_740_서울74사7391,685.71692333 
시내버스,관악교통_643_서울74사4638,685.00585854 
시내버스,대원여객_370_서울74사5087,684.82831120 
시내버스,우신운수_4212_서울74사1628,684.63836797 
시내버스,남성교통_9401_서울74사9977,684.53833461 
시내버스,동아운수_152_서울74사2132,684.48064849 
시내버스,송파상운_370_서울74사3812,683.73462185 
시내버스,삼화상운_1224_서울74사3490,683.52770992 
시내버스,도선여객_420_서울74사8295,683.39697085 
시내버스,태릉교통_1155_서울74사1743,683.24987777 
시내버스,신길운수_606_서울74사9884,683.23669024 
시내버스,한국비알티_701_서울71사1823,682.73510784 
시내버스,삼양교통_130_서울75사3089,682.73034878 
시내버스,우신버스_441_서울70사8937,682.44647235 
시내버스,대원여객_106_서울74사5027,682.37603642 
시내버스,서울교통네트웍_160_서울70사6694,681.78869784 
시내버스,유성운수_750B_서울74사7213,681.21911958 
시내버스,동해운수_700_서울74사5661,681.00781180 
시내버스,한국비알티_741_서울74사5386,680.17932586 
시내버스,흥안운수_1224_서울75사2105,680.07349037 
시내버스,대원여객_370_서울70사6384,680.03900349 
시내버스,동아운수_152_서울74사4037,679.88244817 
시내버스,태릉교통_1155_서울74사1723,679.86266688 
시내버스,동아운수_152_서울74사4326,679.85760048 
